originals	tokenized	transliterated
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èfaoe(w)okĕ	è f a oe ( w ) o k ĕ	ɛ f a u ( w ) o k ə
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
è(a)kadoba	è ( a ) k a d o b a	ɛ ( a ) k a d o b a
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èamèamè	è a m è a m è	ɛ a m ɛ a m ɛ
NA	NA	NA
èanèkahoe(w)a	è a n è k a h oe ( w ) a	ɛ a n ɛ k a h u ( w ) a
èanieha	è a n ie h a	ɛ a n i ç a
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èafama	è a f a m a	ɛ a f a m a
èafaq	è a f a q	ɛ a f a ʔ
èafala	è a f a l a	ɛ a f a l a
èafĕ	è a f ĕ	ɛ a f ə
èafoe	è a f oe	ɛ a f u
èafoe èkoe(w)ĕ	è a f oe # è k oe ( w ) ĕ	ɛ a f u # ɛ k u ( w ) ə
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èmanè	è m a n è	ɛ m a n ɛ
NA	NA	NA
(oe)kiaroboe	( oe ) k i a r o b oe	( u ) k i a r o b u
NA	NA	NA
NA	NA	NA
afĕ	a f ĕ	a f ə
kaära	k a ä r a	k a ʔ a r a
NA	NA	NA
èaraä(q)ko(w)ah	è a r a ä ( q ) k o ( w ) a h	ɛ a r a ʔ a ( ʔ ) k o ( w ) a h
NA	NA	NA
NA	NA	NA
NA	NA	NA
èalopa	è a l o p a	ɛ a l o p a
NA	NA	NA
èatara	è a t a r a	ɛ a t a r a
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èbaka: èoewĕ	è b a k a : # è oe w ĕ	ɛ b a k a : # ɛ u w ə
NA	NA	NA
kietaie	k ie t a ie	k i t a i
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èboeèparaqwĕ	è b oe è p a r a q w ĕ	ɛ b u ɛ p a r a ʔ w ə
NA	NA	NA
èboqaboqĕ	è b o q a b o q ĕ	ɛ b o ʔ a b o ʔ ə
èlaba	è l a b a	ɛ l a b a
ètaboeho; ètafoehĕ	è t a b oe h o ; # è t a f oe h ĕ	ɛ t a b u h o ; # ɛ t a f u h ə
ètaboeho; ètafoehĕ	è t a b oe h o ; # è t a f oe h ĕ	ɛ t a b u h o ; # ɛ t a f u h ə
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èkietaie	è k ie t a ie	ɛ k i t a i
èoeloe	è oe l oe	ɛ u l u
NA	NA	NA
NA	NA	NA
èoeloe	è oe l oe	ɛ u l u
èlahajo	è l a h a j o	ɛ l a h a j o
èlahèboeäo	è l a h è b oe ä o	ɛ l a h ɛ b u ʔ a o
NA	NA	NA
èlèabĕ	è l è a b ĕ	ɛ l ɛ a b ə
èdiehaoe	è d ie h a oe	ɛ d i ç a u
NA	NA	NA
èrieho	è r ie h o	ɛ r i ç o
èdèja	è d è j a	ɛ d ɛ j a
èlie(j)ĕ	è l ie ( j ) ĕ	ɛ l i ( j ) ə
èlieie(j)ĕ	è l ie ie ( j ) ĕ	ɛ l i i ( j ) ə
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èloboe	è l o b oe	ɛ l o b u
èloboe kanapoe(w)a	è l o b oe # k a n a p oe ( w ) a	ɛ l o b u # k a n a p u ( w ) a
èdorie	è d o r ie	ɛ d o r i
èroehoekie(j)aq	è r oe h oe k ie ( j ) a q	ɛ r u h u k i ( j ) a ʔ
ènohaie	è n o h a ie	ɛ n o h a i
èdĕhoie; èdjĕhoie	è d ĕ h o ie ; # è dj ĕ h o ie	ɛ d ə h o i ; # ɛ d͡ʒ ə h o i
kiedĕhoie; kiedjĕhoie	k ie d ĕ h o ie ; # k ie dj ĕ h o ie	k i d ə h o i ; # k i d͡ʒ ə h o i
èlolèlolè	è l o l è l o l è	ɛ l o l ɛ l o l ɛ
NA	NA	NA
NA	NA	NA
iedopo; ètofo; ietofo	ie d o p o ; # è t o f o ; # ie t o f o	i d o p o ; # ɛ t o f o ; # i t o f o
èroforofo	è r o f o r o f o	ɛ r o f o r o f o
èloro	è l o r o	ɛ l o r o
NA	NA	NA
NA	NA	NA
èèlako	è è l a k o	ɛ ɛ l a k o
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èènono: oefĕ	è è n o n o : # oe f ĕ	ɛ ɛ n o n o : # u f ə
oeèfĕ	oe è f ĕ	u ɛ f ə
èèolie	è è o l ie	ɛ ɛ o l i
èèolieoekoewĕ	è è o l ie oe k oe w ĕ	ɛ ɛ o l i u k u w ə
NA	NA	NA
NA	NA	NA
èèfĕ	è è f ĕ	ɛ ɛ f ə
èhabarie(j)ĕ	è h a b a r ie ( j ) ĕ	ɛ h a b a r i ( j ) ə
NA	NA	NA
NA	NA	NA
èhaiefoe	è h a ie f oe	ɛ h a i f u
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èhaĕ	è h a ĕ	ɛ h a ə
NA	NA	NA
NA	NA	NA
èhèafo	è h è a f o	ɛ h ɛ a f o
NA	NA	NA
èhèie(j)ĕ	è h è ie ( j ) ĕ	ɛ h ɛ i ( j ) ə
NA	NA	NA
èhaèkoe(q)	è h a è k oe ( q )	ɛ h a ɛ k u ( ʔ )
mahaèkoe(q)	m a h a è k oe ( q )	m a h a ɛ k u ( ʔ )
èhèkoe(q)wĕ	è h è k oe ( q ) w ĕ	ɛ h ɛ k u ( ʔ ) w ə
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èhöarie	è h ö a r ie	ɛ h ɨ a r i
mahöarie	m a h ö a r ie	m a h ɨ a r i
NA	NA	NA
èho(w)afĕ	è h o ( w ) a f ĕ	ɛ h o ( w ) a f ə
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èèdjie; èietjie	è è dj ie ; # è ie tj ie	ɛ ɛ d͡ʒ i ; # ɛ i t͡ʃ i
aèdjie	a è dj ie	a ɛ d͡ʒ i
NA	NA	NA
NA	NA	NA
èieieoeloe	è ie ie oe l oe	ɛ i i u l u
NA	NA	NA
NA	NA	NA
èie(j)obĕ	è ie ( j ) o b ĕ	ɛ i ( j ) o b ə
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èiefĕ	è ie f ĕ	ɛ i f ə
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
aniemaie	a n ie m a ie	a n i m a i
NA	NA	NA
ie(j)araq	ie ( j ) a r a q	i ( j ) a r a ʔ
ie(j)araq noeha	ie ( j ) a r a q # n oe h a	i ( j ) a r a ʔ # n u h a
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èkaraha(q)	è k a r a h a ( q )	ɛ k a r a h a ( ʔ )
èkarieorie	è k a r ie o r ie	ɛ k a r i o r i
èkadieofè	è k a d ie o f è	ɛ k a d i o f ɛ
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
(è)kaèq	( è ) k a è q	( ɛ ) k a ɛ ʔ
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èkaie(oe)lahoe(hoe); èkaèdaho; èkaèlaho	è k a ie ( oe ) l a h oe ( h oe ) ; # è k a è d a h o ; # è k a è l a h o	ɛ k a i ( u ) l a h u ( h u ) ; # ɛ k a ɛ d a h o ; # ɛ k a ɛ l a h o
èkajoqfèdjie	è k a j o q f è dj ie	ɛ k a j o ʔ f ɛ d͡ʒ i
èkakorèie(j)ĕ	è k a k o r è ie ( j ) ĕ	ɛ k a k o r ɛ i ( j ) ə
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èk(a)oeqfanoe	è k ( a ) oe q f a n oe	ɛ k ( a ) u ʔ f a n u
èkaoe(w)ĕ	è k a oe ( w ) ĕ	ɛ k a u ( w ) ə
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èkĕlèpè; èkalèpè	è k ĕ l è p è ; # è k a l è p è	ɛ k ə l ɛ p ɛ ; # ɛ k a l ɛ p ɛ
NA	NA	NA
èkaliehĕ	è k a l ie h ĕ	ɛ k a l i ç ə
èkaliehĕ oe(w)afĕ	è k a l ie h ĕ # oe ( w ) a f ĕ	ɛ k a l i ç ə # u ( w ) a f ə
NA	NA	NA
NA	NA	NA
èkèèfa	è k è è f a	ɛ k ɛ ɛ f a
kieèèfa	k ie è è f a	k i ɛ ɛ f a
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èkieafĕ	è k ie a f ĕ	ɛ k i a f ə
èkietapè(j)a	è k ie t a p è ( j ) a	ɛ k i t a p ɛ ( j ) a
èkietiebèie(j)oq	è k ie t ie b è ie ( j ) o q	ɛ k i t i b ɛ i ( j ) o ʔ
èkietaie; èkiedaie	è k ie t a ie ; # è k ie d a ie	ɛ k i t a i ; # ɛ k i d a i
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èkèhèö(j)a	è k è h è ö ( j ) a	ɛ k ɛ h ɛ ɨ ( j ) a
NA	NA	NA
NA	NA	NA
èkieie(j)ĕ	è k ie ie ( j ) ĕ	ɛ k i i ( j ) ə
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èkorie(j)o	è k o r ie ( j ) o	ɛ k o r i ( j ) o
èkoedaäjo	è k oe d a ä j o	ɛ k u d a ʔ a j o
NA	NA	NA
NA	NA	NA
NA	NA	NA
èkoha	è k o h a	ɛ k o h a
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èkoepadĕ	è k oe p a d ĕ	ɛ k u p a d ə
NA	NA	NA
NA	NA	NA
èkoe(w)ĕ	è k oe ( w ) ĕ	ɛ k u ( w ) ə
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èkoöq	è k o ö q	ɛ k o ʔ o ʔ
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èkoropie(j)oèoeloe	è k o r o p ie ( j ) oè oe l oe	ɛ k o r o p i ( j ) u u l u
NA	NA	NA
èkoèèq	è k oè è q	ɛ k u ɛ ʔ
èkoèèq	è k oè è q	ɛ k u ɛ ʔ
NA	NA	NA
ie(j)akafieta	ie ( j ) a k a f ie t a	i ( j ) a k a f i t a
NA	NA	NA
oehoeqkoe(w)ĕ	oe h oe q k oe ( w ) ĕ	u h u ʔ k u ( w ) ə
NA	NA	NA
èkoèèq	è k oè è q	ɛ k u ɛ ʔ
èlaäfoe(w)a	è l a ä f oe ( w ) a	ɛ l a ʔ a f u ( w ) a
èlahaoe	è l a h a oe	ɛ l a h a u
èmanè	è m a n è	ɛ m a n ɛ
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èloho	è l o h o	ɛ l o h o
NA	NA	NA
èmanè	è m a n è	ɛ m a n ɛ
èmènahoe(w)a	è m è n a h oe ( w ) a	ɛ m ɛ n a h u ( w ) a
NA	NA	NA
èmèaö	è m è a ö	ɛ m ɛ a ʔ o
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èmoöie(j)ĕ	è m o ö ie ( j ) ĕ	ɛ m o ʔ o i ( j ) ə
NA	NA	NA
ènaè(na): oe(w)afĕ	è n a è ( n a ) : # oe ( w ) a f ĕ	ɛ n a ɛ ( n a ) : # u ( w ) a f ə
NA	NA	NA
NA	NA	NA
NA	NA	NA
ènapĕ	è n a p ĕ	ɛ n a p ə
ènafienafie	è n a f ie n a f ie	ɛ n a f i n a f i
ènafienie	è n a f ie n ie	ɛ n a f i n i
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
ènoĕ	è n o ĕ	ɛ n o ə
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èorie	è o r ie	ɛ o r i
apieha èoriedie(j)ĕ	a p ie h a # è o r ie d ie ( j ) ĕ	a p i ç a # ɛ o r i d i ( j ) ə
èorieaäq	è o r ie a ä q	ɛ o r i a ʔ a ʔ
borieaäq	b o r ie a ä q	b o r i a ʔ a ʔ
kahohoriaäq	k a h o h o r i a ä q	k a h o h o r i a ʔ a ʔ
èoriöka	è o r i ö k a	ɛ o r i ʔ o k a
NA	NA	NA
NA	NA	NA
NA	NA	NA
èoroe	è o r oe	ɛ o r u
èorohèie	è o r o h è ie	ɛ o r o h ɛ i
èoebĕ	è oe b ĕ	ɛ u b ə
èoebĕ: èkaèn	è oe b ĕ : # è k a è n	ɛ u b ə : # ɛ k a ɛ n
èkiearoboe	è k ie a r o b oe	ɛ k i a r o b u
èobo	è o b o	ɛ o b o
NA	NA	NA
kèèèfĕ	k è è è f ĕ	k ɛ ɛ ɛ f ə
NA	NA	NA
NA	NA	NA
èoeloe	è oe l oe	ɛ u l u
èoeloe bèlo(w)a	è oe l oe # b è l o ( w ) a	ɛ u l u # b ɛ l o ( w ) a
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èoekoeriepo	è oe k oe r ie p o	ɛ u k u r i p o
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èoemĕ	è oe m ĕ	ɛ u m ə
NA	NA	NA
NA	NA	NA
NA	NA	NA
èoeoe(w)afĕ	è oeoe ( w ) a f ĕ	ɛ u ʔ u ( w ) a f ə
NA	NA	NA
èoefĕ	è oe f ĕ	ɛ u f ə
èoepoeie(j)ĕ	è oe p oe ie ( j ) ĕ	ɛ u p u i ( j ) ə
èoepoeqoe(w)ĕ	è oe p oe q oe ( w ) ĕ	ɛ u p u ʔ u ( w ) ə
èoefoe(w)a	è oe f oe ( w ) a	ɛ u f u ( w ) a
NA	NA	NA
èoe(w)aè; èè(w)aie; èè(w)aè	è oe ( w ) a è ; # è è ( w ) a ie ; # è è ( w ) a è	ɛ u ( w ) a ɛ ; # ɛ ɛ ( w ) a i ; # ɛ ɛ ( w ) a ɛ
NA	NA	NA
èoe(w)afĕ; èè(w)apo; èèwafĕ	è oe ( w ) a f ĕ ; # è è ( w ) a p o ; # è è w a f ĕ	ɛ u ( w ) a f ə ; # ɛ ɛ ( w ) a p o ; # ɛ ɛ w a f ə
NA	NA	NA
è(o)horaoekèèfa	è ( o ) h o r a oe k è è f a	ɛ ( o ) h o r a u k ɛ ɛ f a
NA	NA	NA
èokahaĕ	è o k a h a ĕ	ɛ o k a h a ə
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èokoehèoeloe	è o k oe h è oe l oe	ɛ o k u h ɛ u l u
NA	NA	NA
NA	NA	NA
èokofie	è o k o f ie	ɛ o k o f i
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èofoe	è o f oe	ɛ o f u
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èfaèfa	è f a è f a	ɛ f a ɛ f a
NA	NA	NA
NA	NA	NA
èèlako	è è l a k o	ɛ ɛ l a k o
NA	NA	NA
èpahoahoäq	è p a h o a h o ä q	ɛ p a h o a h o ʔ a ʔ
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èfakoehè	è f a k oe h è	ɛ f a k u h ɛ
NA	NA	NA
èpak(a)(w)ĕ	è p a k ( a ) ( w ) ĕ	ɛ p a k ( a ) ( w ) ə
èfalè; èparè	è f a l è ; # è p a r è	ɛ f a l ɛ ; # ɛ p a r ɛ
NA	NA	NA
èfanoe	è f a n oe	ɛ f a n u
NA	NA	NA
èpanĕma; èfanĕma	è p a n ĕ m a ; # è f a n ĕ m a	ɛ p a n ə m a ; # ɛ f a n ə m a
NA	NA	NA
èfaofĕ	è f a o f ĕ	ɛ f a o f ə
èfaoqöqaie	è f a o q ö q a ie	ɛ f a o ʔ ɨ ʔ a i
NA	NA	NA
èfèa	è f è a	ɛ f ɛ a
NA	NA	NA
NA	NA	NA
NA	NA	NA
èpèdoe(w)a(ö); èfèlo(w)a(ö)	è p è d oe ( w ) a ( ö ) ; # è f è l o ( w ) a ( ö )	ɛ p ɛ d u ( w ) a ( ʔ o ) ; # ɛ f ɛ l o ( w ) a ( ʔ o )
èfèhè	è f è h è	ɛ f ɛ h ɛ
NA	NA	NA
NA	NA	NA
NA	NA	NA
èpĕrhaoedie	è p ĕ r h a oe d ie	ɛ p ə r h a u d i
NA	NA	NA
NA	NA	NA
èpieaoe(w)afĕ	è p ie a oe ( w ) a f ĕ	ɛ p i a u ( w ) a f ə
NA	NA	NA
NA	NA	NA
èpiedjoeafĕ	è p ie dj oe a f ĕ	ɛ p i d͡ʒ u a f ə
NA	NA	NA
èfie(j)ĕ	è f ie ( j ) ĕ	ɛ f i ( j ) ə
èfie(j)ofie(j)ĕ	è f ie ( j ) o f ie ( j ) ĕ	ɛ f i ( j ) o f i ( j ) ə
NA	NA	NA
NA	NA	NA
èfieniefie	è f ie n ie f ie	ɛ f i n i f i
èfiefie	è f ie f ie	ɛ f i f i
NA	NA	NA
epoeaoe	e p oe a oe	e p u a u
NA	NA	NA
èpoeroe	è p oe r oe	ɛ p u r u
NA	NA	NA
NA	NA	NA
èfoekĕ	è f oe k ĕ	ɛ f u k ə
NA	NA	NA
NA	NA	NA
NA	NA	NA
èpoe(oe)qoe: oe(w)afĕ	è p oe ( oe ) q oe : # oe ( w ) a f ĕ	ɛ p u ( u ) ʔ u : # u ( w ) a f ə
NA	NA	NA
èpoeroeroe(ie)	è p oe r oe r oe ( ie )	ɛ p u r u r u ( i )
èpoeroeroe(ie): èoeloe	è p oe r oe r oe ( ie ) : # è oe l oe	ɛ p u r u r u ( i ) : # ɛ u l u
NA	NA	NA
èpoeroeroe(ie)	è p oe r oe r oe ( ie )	ɛ p u r u r u ( i )
èpoeroeroe(ie): waniemaie	è p oe r oe r oe ( ie ) : # w a n ie m a ie	ɛ p u r u r u ( i ) : # w a n i m a i
NA	NA	NA
oekèoq	oe k è o q	u k ɛ o ʔ
èpoe(ah)ha	è p oe ( a h ) h a	ɛ p u ( a h ) h a
èfo(h)	è f o ( h )	ɛ f o ( h )
NA	NA	NA
èfoko	è f o k o	ɛ f o k o
èponanamie	è p o n a n a m ie	ɛ p o n a n a m i
èpoe(oe)kaha	è p oe ( oe ) k a h a	ɛ p u ( u ) k a h a
èpopoökie	è p o p o ö k ie	ɛ p o p o ʔ o k i
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
ietèbè	ie t è b è	i t ɛ b ɛ
èwakieföro	è w a k ie f ö r o	ɛ w a k i f ɨ r o
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
hèlapiehie	h è l a p ie h ie	h ɛ l a p i ç i
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
hobaäoe(w)ĕ	h o b a ä oe ( w ) ĕ	h o b a ʔ a u ( w ) ə
NA	NA	NA
obèèaĕ	o b è è a ĕ	o b ɛ ɛ a ə
NA	NA	NA
NA	NA	NA
NA	NA	NA
horiekie	h o r ie k ie	h o r i k i
NA	NA	NA
NA	NA	NA
hokoä	h o k o ä	h o k o ʔ a
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
hofaie	h o f a ie	h o f a i
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
haie(j)aha	h a ie ( j ) a h a	h a i ( j ) a h a
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
ienoie	ie n o ie	i n o i
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
iekoedaha	ie k oe d a h a	i k u d a h a
NA	NA	NA
ienaou(w)ĕ	ie n a o u ( w ) ĕ	i n a o u ( w ) ə
manoenoeq	m a n oe n oe q	m a n u n u ʔ
NA	NA	NA
NA	NA	NA
