originals	errors
1396	adoe(w)ĕ taka	a d oe ( w ) ĕ ⁇ t a k a
1397	adoe(w)a taka hie (è)kahaèq	a d oe ( w ) a ⁇ t a k a ⁇ h i e ⁇ ( è ) k a h a è q
1398	aroe(w)a taka hie (è)kahaèq	a r oe ( w ) a ⁇ t a k a ⁇ h i e ⁇ ( è ) k a h a è q
1399	adoe(w)ĕ taka hie (è)kahaèq	a d oe ( w ) ĕ ⁇ t a k a ⁇ h i e ⁇ ( è ) k a h a è q
1400	adoe(w)a taka hie kiepa(a)oeq	a d oe ( w ) a ⁇ t a k a ⁇ h i e ⁇ k i e p a ( a ) oe q
1401	aroe(w)a taka hie kiepa(a)oeq	a r oe ( w ) a ⁇ t a k a ⁇ h i e ⁇ k i e p a ( a ) oe q
1402	adoe(w)ĕ taka hie kiepa(a)oeq	a d oe ( w ) ĕ ⁇ t a k a ⁇ h i e ⁇ k i e p a ( a ) oe q
1403	akaloe taka	a k a l oe ⁇ t a k a
1404	akoloe taka hie kiepa(a)oeq	a k o l oe ⁇ t a k a ⁇ h i e ⁇ k i e p a ( a ) oe q
1405	a(o)pa taka	a ( o ) p a ⁇ t a k a
1406	a(o)fa taka	a ( o ) f a ⁇ t a k a
1407	a(o)pa taka hie kiepa(a)oeq	a ( o ) p a ⁇ t a k a ⁇ h i e ⁇ k i e p a ( a ) oe q
1408	a(o)fa taka hie kiepa(a)oeq	a ( o ) f a ⁇ t a k a ⁇ h i e ⁇ k i e p a ( a ) oe q
1409	adieba taka	a d i e b a ⁇ t a k a
1410	arieba taka	a r i e b a ⁇ t a k a
1411	aliebĕ taka	a l i e b ĕ ⁇ t a k a
1412	kiepa(a)oeq taka	k i e p a ( a ) oe q ⁇ t a k a
1413	kiefa(a)oeq taka	k i e f a ( a ) oe q ⁇ t a k a
1414	(è)kahaèq koedodoka	( è ) k a h a è q ⁇ k oe d o d o k a
