ID	page	entry	dutch	english	indonesian	form	variant_ID	form_common_transcription	form_common_segments	form_ipa_segments	crossref_form	crossref_common_transcription	crossref_common_segments	crossref_ID	crossref_ipa_segments	comment
38	476	A	vermeerderen , toenemen	multiply , increase	berkembang biak, meningkat	maäkohaie		ma'akohai	m a ' a k o h a i	m a ʔ a k o h a i						
39	476	A	drie	three	tiga	akoloe	34	akolu	a k o l u	a k o l u						
40	476	A	vader	father	ayah	ama		ama	a m a	a m a						
41	476	A	deel , aandeel	part , share	bagian, bagikan	amahèaqja	73	amahEa'ya	a m a h E a ' y a	a m a h ɛ a ʔ j a						
42	476	A	schoonouders van den man	husband's parents-in-law	mertua dari pihak suami	amanaie		amanai	a m a n a i	a m a n a i						
43	476	A	van een ander nemen of overnemen , aannemen , nemen , wegnemen , halen	take or take over from another , take , take away , fetch	mengambil atau mengambil alih dari yang lain, mengambil, mengambil, mengambil	amĕnaq		amėna'	a m ė n a '	a m ə n a ʔ						
44	476	A	eten , gaan eten	eat , go to eat	makan, pergi makan	amĕno	36	amėno	a m ė n o	a m ə n o						
45	476	A	door een band vastmaken , aanbinden , vastbinden , omwinden of vastbinden van een voorwerp om als merk of teeken te dienen	to bind , tether , tie up , wrap or tie down an object by a band to serve as a mark or sign	mengikat, menambatkan, mengikat, membungkus atau mengikat suatu benda dengan tali untuk dijadikan sebagai tanda atau rambu	amèq		amE'	a m E '	a m ɛ ʔ						
46	476	A	de gesloten hand	the closed hand	tangan yang tertutup	amoeapo	35	amuapo	a m u a p o	a m u a p o						
47	476	A	lang , uitgestrekt van ruimte en tijd	long , vast of space and time	panjang, luasnya ruang dan waktu	amoehoe	37	amuhu	a m u h u	a m u h u						
47	476	A	lang , uitgestrekt van ruimte en tijd	long , vast of space and time	panjang, luasnya ruang dan waktu	èienoeqoe(q)	37	Einu'u(')	E i n u ' u ( ' )	ɛ i n u ʔ u ( ʔ )						
48	476	A	grof , ruw	coarse , rough	kasar, kasar	èkariehie		Ekarihi	E k a r i h i	ɛ k a r i ç i						
49	476	A	hoog , hoogte	high , height	tinggi, tinggi	èkienè	143	EkinE	E k i n E	ɛ k i n ɛ						
50	476	A	gaan , weggaan , heengaan	go , go away	pergi, pergi	ana		ana	a n a	a n a						
51	476	A	de pandanus	the pandanus	pandan	aniemaie	462	animai	a n i m a i	a n i m a i						
52	476	A	rooken	smoke	asap	anoekoöq		anuko'o'	a n u k o ' o '	a n u k o ʔ o ʔ						
53	476	A	laag , rij voorwerpen op of naast elkander	layer , row of objects on or next to each other	lapisan, deretan objek di atas atau di samping satu sama lain	anohakèkè		anohakEkE	a n o h a k E k E	a n o h a k ɛ k ɛ						
54	476	A	makker , kameraad	companion , comrade	pendamping, kawan	anoqö	40	ano'u̇	a n o ' u̇	a n o ʔ ɨ						
55	476	A	tegenhouden	hold back	menahan diri	anokè		anokE	a n o k E	a n o k ɛ						
56	476	A	naar zich toetrekken of halen , voorttrekken	pull or fetch , pull forward	tarik atau ambil, tarik ke depan	anokie		anoki	a n o k i	a n o k i						
57	476	A	aan beide einden van een stok over den schouder dragen	carried on both ends of a stick over the shoulder	dibawa di kedua ujung tongkat di atas bahu	anoöho		ano'oho	a n o ' o h o	a n o ʔ o h o						
58	476	A	uitgestort , vergoten	poured out , shed	dicurahkan, ditumpahkan	anoqè(j)a	39	ano'E(y)a	a n o ' E ( y ) a	a n o ʔ ɛ ( j ) a						
59	476	A	bez. vnwd. van den eersten persoon	possessive pronoun of the first person	kata ganti kepemilikan orang pertama	aoe		au	a u	a u						
60	476	A	voor , vooruit , eerste	before , ahead , first	sebelum, di depan, pertama	aoedoe	41	audu	a u d u	a u d u	èoedoe	Eudu	E u d u	238	ɛ u d u	
60	476	A	voor , vooruit , eerste	before , ahead , first	sebelum, di depan, pertama	aoedoe	41	audu	a u d u	a u d u	èoedoe	Eudu	E u d u	556	ɛ u d u	
61	476	A	vier	four	empat	a(o)pa	10	a(o)pa	a ( o ) p a	a ( o ) p a						
62	476	A	acht	eight	delapan	a(o)pahiea(o)pa	14	a(o)pahia(o)pa	a ( o ) p a h i a ( o ) p a	a ( o ) p a h i a ( o ) p a						
63	476	A	wieden	weed	gulma	apieaie		apiai	a p i a i	a p i a i						
64	476	A	vermoeid , moeilijk van een werk , zwaar van een werk	tired , difficult of a work , heavy of a work	lelah, pekerjaan yang sulit, pekerjaan yang berat	a(p)ie(j)aka		a(p)i(y)aka	a ( p ) i ( y ) a k a	a ( p ) i ( j ) a k a						
65	476	A	vermoeid , moeilijk van een werk , zwaar van een werk	tired , hard of a job , heavy of a job	lelah, pekerjaan yang berat, pekerjaan yang berat	kie(a)pie(j)aka		ki(a)pi(y)aka	k i ( a ) p i ( y ) a k a	k i ( a ) p i ( j ) a k a						
66	476	A	zich aansluiten , dicht naast elkander plaatsen , doen aansluiten , aan iets dringen	join , place close together , make join , push on to something	bergabung, menempatkan berdekatan, membuat bergabung, mendorong ke sesuatu	apienie		apini	a p i n i	a p i n i						
67	476	A	blazen , wegblazen , blazen van den wind	blowing , blowing away , blowing the wind<	meniup, meniup, meniup angin<	apoie		apoi	a p o i	a p o i						
68	476	A	3 à 4 u. n.m.	3 to 4 p.m.	pukul 3 hingga 4 sore	apoie		apoi	a p o i	a p o i						
69	477	A	9 u. v.m. ; (lett. : afsluiten van de ronde opening , waardoor men de woning binnengaat , bij het gaan naar het veld , omstreeks 9 u. v.m.).	9 a.m. ; (lit. : closing the round opening , through which one enters the dwelling , on going to the field , about 9 a.m.).	9 pagi; (lit.: menutup lubang bundar, di mana seseorang memasuki tempat tinggal, saat pergi ke ladang, sekitar pukul 9 pagi).	aroekoe(w)a	52	aruku(w)a	a r u k u ( w ) a	a r u k u ( w ) a	è(a)karoba	E(a)karoba	E ( a ) k a r o b a	162	ɛ ( a ) k a r o b a	
70	477	A	9 u. v.m. ; (lett. : afsluiten van de ronde opening , waardoor men de woning binnengaat , bij het gaan naar het veld , omstreeks 9 u. v.m.).	9 a.m. ; (lit. : closing the round opening , through which one enters the dwelling , when going to the field , about 9 a.m.).	9 pagi; (lit.: menutup lubang bundar, di mana seseorang memasuki tempat tinggal, ketika pergi ke ladang, sekitar jam 9 pagi).	aroekoe(w)a_è(a)karoba	53	aruku(w)a_E(a)karoba	a r u k u ( w ) a _ E ( a ) k a r o b a	a r u k u ( w ) a _ ɛ ( a ) k a r o b a	è(a)karoba	E(a)karoba	E ( a ) k a r o b a	162	ɛ ( a ) k a r o b a	
71	477	A	wrijven van de borst van een borstlijder met pisangbladeren	rubbing the chest of a breast sufferer with pisang leaves	menggosok dada penderita payudara dengan daun pisang	aroeoeieoe(w)a		aru'uiu(w)a	a r u ' u i u ( w ) a	a r u ʔ u i u ( w ) a						
72	477	A	gaan , weggaan , heengaan	go , leave , go away	pergi, pergi, pergi	awa(h)		awa(h)	a w a ( h )	a w a ( h )						
73	477	A	teruggaan , terugkeeren	going back , returning	kembali, kembali	awanaq		awana'	a w a n a '	a w a n a ʔ						
74	477	B	hersteld , gezond.	recovered , healthy.	pulih, sehat.	ba(a)oe(w)a		ba(a)u(w)a	b a ( a ) u ( w ) a	b a ( a ) u ( w ) a						grwd.: aoe(w)a?
75	477	B	groot , zwaar	large , heavy	besar, berat	baba		baba	b a b a	b a b a						
75	477	B	groot , zwaar	large , heavy	besar, berat	oebaba		ubaba	u b a b a	u b a b a						
76	477	B	(mal.) ; waarmede een in Ned. Indië geboren Chinees wordt aangesproken	(mal.) ; by which a Chinese born in the Dutch East Indies is addressed	(mal.); sebutan untuk orang Tionghoa yang lahir di Hindia Belanda	baba		baba	b a b a	b a b a						malay
76	477	B	(mal.) ; waarmede een in Ned. Indië geboren Chinees wordt aangesproken	(mal.) ; by which a Chinese born in the Dutch East Indies is addressed	(mal.); sebutan untuk orang Tionghoa yang lahir di Hindia Belanda	oebaba		ubaba	u b a b a	u b a b a						malay
77	477	B	(mal.) ; kleedingstuk voor het bovenlijf , baadje	(mal.) ; garment for the upper body , shirt	(mal.); pakaian untuk tubuh bagian atas, kemeja	badjoe		baju	b a j u	b a d͡ʒ u						malay
78	477	B	avond	evening	malam	bahabaieba	54	bahabaiba	b a h a b a i b a	b a h a b a i b a						
79	477	B	offermaal	sacrificial meal	makanan kurban	bahora		bahora	b a h o r a	b a h o r a						
80	477	B	zoeken	search	pencarian	baoe(w)adie	55	bau(w)adi	b a u ( w ) a d i	b a u ( w ) a d i						
81	477	B	(mal.) ; ontelbaar	(mal.) ; innumerable	(mal.); tak terhitung banyaknya	barieboerieboe		bariburibu	b a r i b u r i b u	b a r i b u r i b u						malay
82	477	B	(mal.) ; houweel	(mal.) ; pickaxe	(mal.); beliung	bĕlie(j)oeng		bėli(y)ung	b ė l i ( y ) u n g	b ə l i ( j ) u n g						malay
83	477	B	(mal.) ; draad , garen	(mal.) ; thread , yarn	(mal.); benang, benang	bĕnang		bėnang	b ė n a n g	b ə n a n g						malay
84	477	B	mijnheer , heer	sir , gentleman	pak, Tuan	biedie	56	bidi	b i d i	b i d i						
85	477	B				boe		bu	b u	b u	moe	mu	m u	1183	m u	
86	477	B	voorvoegsel tot vorming van het toestandswoord	prefix to form the state word	awalan untuk membentuk kata keadaan	boe		bu	b u	b u						
87	477	B	spuiten van of met water of iets dergelijks	spray of or with water or something like that	semprotan atau dengan air atau semacamnya	boeboeqie		bubu'i	b u b u ' i	b u b u ʔ i						
88	477	B	5 .uur in den morgen	5 .o'clock in the morning	pukul 5 pagi	boedahiejaq		budahiya'	b u d a h i y a '	b u d a h i j a ʔ						
89	477	B	lengte van duur of tijd	length of duration or time	lama durasi atau waktu	boeodo		buodo	b u o d o	b u o d o						
90	477	B	(zelden) oud , in tegenstelling van nieuw	(rarely) old , as opposed to new	(jarang) lama, bukan baru	boeodo		buodo	b u o d o	b u o d o						
91	477	D	man , echtgenoot	man , husband	pria, suami	dadoe(oe)		dadu(u)	d a d u ( u )	d a d u ( u )						
92	477	D	de navolgende dag , overmorgen	the following day , the day after tomorrow	keesokan harinya, lusa	daiekahadie(j)a	58	daikahadi(y)a	d a i k a h a d i ( y ) a	d a i k a h a d i ( j ) a						
93	477	D	hoofd inz. van een landschap	head of a landscape	kepala lanskap	dajo		dayo	d a y o	d a j o						
94	477	D	optillen , opbeuren	lift , uplift	angkat, angkat	daraqie		dara'i	d a r a ' i	d a r a ʔ i						
95	477	D	(mal.) hoofddoek	(mal.) headscarf	(mal.) jilbab	dètar		dEtar	d E t a r	d ɛ t a r						malay
96	477	D	bez. vnmwd. voor den derden persoon	possessive pronoun for the third person	kata ganti kepemilikan untuk orang ketiga	die(j)a	59	di(y)a	d i ( y ) a	d i ( j ) a						
97	477	D	hersteld , gezond	recovered , healthy	pulih, sehat	dja(ä)oe(w)a		ja('a)u(w)a	j a ( ' a ) u ( w ) a	d͡ʒ a ( ʔ a ) u ( w ) a						grwd.: aoe(w)a?
98	477	D	in of met de hand vasthouden	holding in or with the hand	memegang di dalam atau dengan tangan	dodo		dodo	d o d o	d o d o						
99	477	D	erfdeel	share of inheritance	bagian dari warisan	dödöhöka		du̇du̇hu̇ka	d u̇ d u̇ h u̇ k a	d ɨ d ɨ h ɨ k a						
100	477	D	standhouden , uithouden	hold out , endure	bertahan, bertahan	dodokaqäq		dodoka'a'	d o d o k a ' a '	d o d o k a ʔ a ʔ						
101	478	E	afstooten , wegstooten , afwijzen , wegduwen	repel , repel , reject , push away	mengusir, mengusir, menolak, mendorong	è		E	E	ɛ						
102	478	E	been , gebeente	bone , skeleton	tulang, kerangka	èa		Ea	E a	ɛ a						
103	478	E	schelp	shell	cangkang	èa		Ea	E a	ɛ a						
104	478	E	de stijlen van eene woning	the styles of a house	gaya-gaya sebuah rumah	èaähaie		Ea'ahai	E a ' a h a i	ɛ a ʔ a h a i						
105	478	E	zwemmen	swimming	berenang	èaä(h)ko	184	Ea'a(h)ko	E a ' a ( h ) k o	ɛ a ʔ a ( h ) k o						
106	478	E	zwemmen	swimming	berenang	maä(h)ko	416	ma'a(h)ko	m a ' a ( h ) k o	m a ʔ a ( h ) k o						
107	478	E	asch , stof	ash , dust	abu, debu	èa(ä)haoie		Ea('a)haoi	E a ( ' a ) h a o i	ɛ a ( ʔ a ) h a o i						
108	478	E	zegen , geluk , levensonderhoud , levensmiddelen	blessing , happiness , sustenance , food	berkah, kebahagiaan, rezeki, makanan	èaäkoe		Ea'aku	E a ' a k u	ɛ a ʔ a k u						
109	478	E	handeling , gedrag , handelwijze	action , behavior , course of action	tindakan, perilaku, tindakan	èaäkoha		Ea'akoha	E a ' a k o h a	ɛ a ʔ a k o h a						
110	478	E	ijzer	iron	besi	èaäoe		Ea'au	E a ' a u	ɛ a ʔ a u						
111	478	E	oudere broeder of zuster	older brother or sister	kakak laki-laki atau perempuan	èaäq		Ea'a'	E a ' a '	ɛ a ʔ a ʔ						
112	478	E	ziekte , pijn , kwelling	illness , pain , torment	penyakit, rasa sakit, siksaan	èabaä		Eaba'a	E a b a ' a	ɛ a b a ʔ a						
113	478	E	dood	dead	mati	èabaäo		Eaba'ao	E a b a ' a o	ɛ a b a ʔ a o						
114	478	E	werktuigen , gereedschappen	implements , tools	mengimplementasikan, alat	èabadie(j)o	65	Eabadi(y)o	E a b a d i ( y ) o	ɛ a b a d i ( j ) o						
115	478	E	medelijden	pity	kasihan	èabaoekiedaie	64	Eabaukidai	E a b a u k i d a i	ɛ a b a u k i d a i						
116	478	E	één der typen van eene Engganeesche lans	one of the types of an Engganese lance	salah satu jenis tombak Engganese	èabaoe(w)a		Eabau(w)a	E a b a u ( w ) a	ɛ a b a u ( w ) a						
117	478	E	zekere pisangsoort	certain pisang species	spesies pisang tertentu	èabo		Eabo	E a b o	ɛ a b o						
118	478	E	verblijfplaats , woonplaats	abode , dwelling place	tempat tinggal, tempat tinggal	èaboebaja		Eabubaya	E a b u b a y a	ɛ a b u b a j a						
119	478	E	hemel , uitspansel.	sky , expanse.	langit, hamparan.	èadahohoe		Eadahohu	E a d a h o h u	ɛ a d a h o h u						
120	478	E	roosteren van den buik boven een goed onderhouden houtvuur om een abortus op te wekken.	roasting the belly over a well-kept wood fire to induce an abortion.	memanggang perut di atas api kayu yang dipelihara dengan baik untuk melakukan aborsi.	èadieho		Eadiho	E a d i h o	ɛ a d i ç o						
121	478	E	zekere soort van bamboeriet	certain kind of bamboo reeds	jenis buluh bambu tertentu	èadoe(w)a		Eadu(w)a	E a d u ( w ) a	ɛ a d u ( w ) a						
122	478	E	schoonhouden , zuiveren ; ook : wieden.	keep clean , purify ; also : to weed.	menjaga kebersihan, memurnikan; juga: menyiangi.	èadoö(w)ie		Eado'o(w)i	E a d o ' o ( w ) i	ɛ a d o ʔ o ( w ) i						
123	478	E	handeling , daad.	act , deed.	tindakan, perbuatan.	èaèkaboe		EaEkabu	E a E k a b u	ɛ a ɛ k a b u						
124	478	E	zorg , bescherming , hoede ; ook : fokken , kweeken	care , protection , guard ; also : to breed , to cultivate	perawatan, perlindungan, penjagaan; juga: berkembang biak, membudidayakan	èahabaoeda	72	Eahabauda	E a h a b a u d a	ɛ a h a b a u d a						
125	478	E	wat ergens voor dient of de sporen draagt van ergens voor gediend te hebben of van afkomstig te zijn	that which serves for something or bears the marks of having served for something or originated from something	sesuatu yang berfungsi untuk sesuatu atau memiliki tanda telah berfungsi untuk sesuatu atau berasal dari sesuatu	èahaboe(w)a		Eahabu(w)a	E a h a b u ( w ) a	ɛ a h a b u ( w ) a						
126	478	E	zekere papegaaisoort.	certain species of parrot.	spesies burung beo tertentu.	èahaie		Eahai	E a h a i	ɛ a h a i						
127	478	E	oogst , oogsten	harvest , harvesting	panen, panen	èahaienjoqä		Eahaiño'a	E a h a i ñ o ' a	ɛ a h a i ɲ o ʔ a						
128	478	E	zich het gelaat en het hoofd wasschen	wash one's face and head	mencuci muka dan kepala	èahaoedohoie		Eahaudohoi	E a h a u d o h o i	ɛ a h a u d o h o i						
129	478	E	dat wil zeggen	which means	yang berarti	èahèdie(j)a	74	EahEdi(y)a	E a h E d i ( y ) a	ɛ a h ɛ d i ( j ) a						
130	478	E	ademhaling	breathing	bernafas	èahoepoq	75	Eahupo'	E a h u p o '	ɛ a h u p o ʔ						
131	478	E	het op weg afwachten van iemand om hem kwaad te doen , in hinderlaag liggen	waiting for someone on the road to do him harm , lying in ambush	menunggu seseorang di jalan untuk menyakitinya, berbaring dalam penyergapan	èahopè	76	EahopE	E a h o p E	ɛ a h o p ɛ						
132	478	E	been , voet , poot	leg , foot , paw	tungkai, kaki, cakar	èaie		Eai	E a i	ɛ a i						
133	478	E	visch. De door den Engganees genuttigde soorten zijn	fish. The species consumed by the Engganese are : 	spesies yang dikonsumsi oleh orang Inggris adalah :	èajo	77	Eayo	E a y o	ɛ a j o						
134	478	E	zeevisch	seafish	ikan laut	èakakoq		Eakako'	E a k a k o '	ɛ a k a k o ʔ						fish species consumed in Enggano at around late 19th century
135	478	E	zeevisch (die gezouten wordt) ; 	seafish (which is salted) ; 	ikan laut (yang diasinkan) ;	èanaöa		Eana'oa	E a n a ' o a	ɛ a n a ʔ o a						fish species consumed in Enggano at around late 19th century
136	479	E	zeevisch (die gezouten wordt) ; 	seafish (which is salted) ; 	ikan laut (yang diasinkan) ;	èaoeno		Eauno	E a u n o	ɛ a u n o						fish species consumed in Enggano at around late 19th century
137	479	E	zeevisch	seafish	ikan laut	èawieka		Eawika	E a w i k a	ɛ a w i k a						fish species consumed in Enggano at around late 19th century
138	479	E	zeevisch	seafish	ikan laut	èboeboe		Ebubu	E b u b u	ɛ b u b u						fish species consumed in Enggano at around late 19th century
139	479	E	zeevisch	seafish	ikan laut	èhaie(j)oeĕq		Ehai(y)uė'	E h a i ( y ) u ė '	ɛ h a i ( j ) u ə ʔ						fish species consumed in Enggano at around late 19th century
140	479	E	zeevisch	seafish	ikan laut	èhèjog		EhEyog	E h E y o g	ɛ h ɛ j o g						fish species consumed in Enggano at around late 19th century
141	479	E	zeevisch	seafish	ikan laut	è(j)anoqäq		E(y)ano'a'	E ( y ) a n o ' a '	ɛ ( j ) a n o ʔ a ʔ						fish species consumed in Enggano at around late 19th century
142	479	E	zeevisch	seafish	ikan laut	èkabaroekoe		Ekabaruku	E k a b a r u k u	ɛ k a b a r u k u						fish species consumed in Enggano at around late 19th century
143	479	E	zeevisch	seafish	ikan laut	èkahaie(j)abie		Ekahai(y)abi	E k a h a i ( y ) a b i	ɛ k a h a i ( j ) a b i						fish species consumed in Enggano at around late 19th century
144	479	E	zeevisch	seafish	ikan laut	èkahoro		Ekahoro	E k a h o r o	ɛ k a h o r o						fish species consumed in Enggano at around late 19th century
145	479	E	zeevisch	seafish	ikan laut	èkaiedodo		Ekaidodo	E k a i d o d o	ɛ k a i d o d o						fish species consumed in Enggano at around late 19th century
146	479	E	zeevisch	seafish	ikan laut	èkapaqie(j)o		Ekapa'i(y)o	E k a p a ' i ( y ) o	ɛ k a p a ʔ i ( j ) o						fish species consumed in Enggano at around late 19th century
147	479	E	zeevisch	seafish	ikan laut	èkaqoe(w)aie		Eka'u(w)ai	E k a ' u ( w ) a i	ɛ k a ʔ u ( w ) a i						fish species consumed in Enggano at around late 19th century
148	479	E	zeevisch	seafish	ikan laut	èkieoedahjo		Ekiudahyo	E k i u d a h y o	ɛ k i u d a h j o						fish species consumed in Enggano at around late 19th century
149	479	E	zeevisch (die gezouten wordt) ; 	seafish (which is salted) ; 	ikan laut (yang diasinkan) ;	èkieoedie		Ekiudi	E k i u d i	ɛ k i u d i						fish species consumed in Enggano at around late 19th century
150	479	E	zeevisch	seafish	ikan laut	èkietaäpoe(w)aq		Ekita'apu(w)a'	E k i t a ' a p u ( w ) a '	ɛ k i t a ʔ a p u ( w ) a ʔ						fish species consumed in Enggano at around late 19th century
151	479	E	zeevisch	seafish	ikan laut	èkoe(w)èq		Eku(w)E'	E k u ( w ) E '	ɛ k u ( w ) ɛ ʔ						fish species consumed in Enggano at around late 19th century
152	479	E	zeevisch (die gezouten wordt) ; 	seafish (which is salted) ; 	ikan laut (yang diasinkan) ;	èloietjaq		Eloica'	E l o i c a '	ɛ l o i t͡ʃ a ʔ						fish species consumed in Enggano at around late 19th century
153	479	E	zeevisch (die gezouten wordt) ; 	seafish (which is salted) ; 	ikan laut (yang diasinkan) ;	èmoenèqä		EmunE'a	E m u n E ' a	ɛ m u n ɛ ʔ a						fish species consumed in Enggano at around late 19th century
154	479	E	zeevisch (die gezouten wordt)	seafish (which is salted) ; 	ikan laut (yang diasinkan) ;	èokoödoq		Eoko'odo'	E o k o ' o d o '	ɛ o k o ʔ o d o ʔ						fish species consumed in Enggano at around late 19th century
155	479	E	zeevisch	seafish	ikan laut	èpaoe(w)oko	102	Epau(w)oko	E p a u ( w ) o k o	ɛ p a u ( w ) o k o						fish species consumed in Enggano at around late 19th century
156	479	E	zoetwatervisch	freshwater fish	ikan air tawar	èkanawèq		EkanawE'	E k a n a w E '	ɛ k a n a w ɛ ʔ						fish species consumed in Enggano at around late 19th century
157	479	E	zoetwatervisch	freshwater fish	ikan air tawar	èkèma		EkEma	E k E m a	ɛ k ɛ m a						fish species consumed in Enggano at around late 19th century
158	479	E	schillen , onthuiden.	to peel , to skin.	untuk mengupas, untuk menguliti.	èakadie(j)o		Eakadi(y)o	E a k a d i ( y ) o	ɛ a k a d i ( j ) o						
159	479	E	waringin	banyan	beringin	èakaka		Eakaka	E a k a k a	ɛ a k a k a						
